event_id,event_type,created_at,received_at,session_id,user_id,ip,url,referrer,device_type,user_agent,element_id,element_type,element_text,payload_json
a1b2af9e-a104-4df0-a9ce-09591f1afbf5,view,2026-01-04T20:05:04Z,2026-01-21T01:03:02Z,sess-2762-4,2762,243.124.125.222,/product/42,https://twitter.com,desktop,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:123.0) Gecko/20100101 Firefox/123.0,,,,"{""event_title"":""product_view"",""element_id"":""#featured-item"",""x"":1250,""y"":254}"
4216a375-98b2-4228-9899-7783a43fc0c6,logout,2026-01-19T05:54:34Z,2026-01-21T01:03:02Z,sess-1308-9,1308,238.8.14.133,/about,https://mail.google.com,mobile,"Mozilla/5.0 (Linux; Android 14; 2312DRA50G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.64 Mobile Safari/537.36",,,,"{""event_title"":""logout"",""element_id"":""#logout-btn"",""x"":1198,""y"":425}"
7137b403-9d26-4f32-888d-bb0880d15ba1,signup,2025-11-25T09:04:36Z,2026-01-21T01:03:02Z,sess-4889-6,4889,112.51.84.198,/catalog,https://yandex.ru/search/?text=shop,desktop,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:123.0) Gecko/20100101 Firefox/123.0,,,,"{""event_title"":""signup_attempt"",""element_id"":""#signup-btn"",""x"":1708,""y"":520}"
3524a76e-497f-42c6-bc78-999409892dcb,click,2026-01-04T19:18:54Z,2026-01-21T01:03:02Z,sess-2357-8,2357,51.194.141.189,/,https://news.ycombinator.com,mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,,,"{""event_title"":""add_to_cart"",""element_id"":""#product-image"",""x"":625,""y"":730}"
4ab8ff54-027e-425c-9129-24ec1ea552fa,click,2025-11-17T21:50:46Z,2026-01-21T01:03:02Z,sess-4992-7,4992,176.123.67.65,/catalog?category=home,,tablet,"Mozilla/5.0 (Linux; Android 13; TB350FU) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.6167.178 Safari/537.36",,,,"{""event_title"":""navigation"",""element_id"":""#search-btn"",""x"":423,""y"":747}"
7f4b1b3c-162d-4a47-9b18-9c6047827150,view,2025-12-12T20:19:56Z,2026-01-21T01:03:02Z,sess-1156-8,1156,193.199.153.85,/catalog?category=electronics,https://google.com/search?q=best+deals,desktop,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:123.0) Gecko/20100101 Firefox/123.0,,,,"{""event_title"":""page_load"",""element_id"":""#reviews-tab"",""x"":866,""y"":786}"
641e3185-150c-4683-a66f-76203b8f6406,purchase,2025-12-14T18:12:02Z,2026-01-21T01:03:02Z,sess-3447-8,3447,37.83.48.165,/product/256,https://youtube.com/watch?v=abc123,mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/122.0.6261.62 Mobile/15E148 Safari/604.1",,,,"{""event_title"":""checkout_complete"",""element_id"":""#checkout-btn"",""x"":1526,""y"":417}"
5d3e885c-972d-4dc3-87ad-fa8365e7a7ca,click,2025-12-17T13:51:50Z,2026-01-21T01:03:02Z,sess-4051-3,4051,78.117.146.168,/catalog?category=electronics,https://google.com/search?q=best+deals,mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,,,"{""event_title"":""navigation"",""element_id"":""#product-image"",""x"":1005,""y"":111}"
4afab56f-e34a-469f-9f1e-548dea2285ed,view,2025-11-14T13:49:26Z,2026-01-21T01:03:02Z,sess-3582-9,3582,74.203.65.213,/faq,https://mail.google.com,desktop,"Mozilla/5.0 (Windows NT 11.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",,,,"{""event_title"":""product_view"",""element_id"":""#nav-account"",""x"":1528,""y"":770}"
f884da0a-d143-47f4-93eb-284753fed7b2,purchase,2025-11-05T23:52:41Z,2026-01-21T01:03:02Z,sess-3440-8,3440,219.216.73.208,/catalog?category=electronics,,desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",,,,"{""event_title"":""checkout_complete"",""element_id"":""#checkout-btn"",""x"":503,""y"":463}"
a5cb5d32-6079-44f5-a10c-0044c7b76da9,click,2025-11-09T20:43:54Z,2026-01-21T01:03:02Z,sess-2128-2,2128,22.118.95.195,/catalog,,desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",,,,"{""event_title"":""navigation"",""element_id"":""#submit-button"",""x"":450,""y"":536}"
d969bf39-a0fa-44ce-8b96-54a749f6b29c,view,2026-01-15T06:00:32Z,2026-01-21T01:03:02Z,sess-2482-2,2482,183.149.233.172,/checkout,https://google.com/search?q=best+deals,desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,,,,"{""event_title"":""banner_view"",""element_id"":""#login-btn"",""x"":1734,""y"":999}"
946820b6-7b91-4c7e-9448-11f2c0b2f135,view,2025-12-05T13:42:51Z,2026-01-21T01:03:02Z,sess-2434-8,2434,13.54.150.67,/account/settings,https://google.com/search?q=products,mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",,,,"{""event_title"":""banner_view"",""element_id"":""#nav-catalog"",""x"":1525,""y"":303}"
7bb46f90-bf64-47fc-9d12-c2922901fa38,click,2025-10-14T06:01:41Z,2026-01-21T01:03:02Z,sess-4459-6,4459,206.14.206.61,/product/1,,mobile,"Mozilla/5.0 (Linux; Android 13; SM-A546B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.6167.178 Mobile Safari/537.36",,,,"{""event_title"":""button_click"",""element_id"":""#nav-cart"",""x"":453,""y"":123}"
42047ad8-82b9-498a-bc5b-65925ed77b00,view,2025-12-31T14:53:57Z,2026-01-21T01:03:02Z,sess-3684-7,3684,95.201.243.55,/product/1,https://twitter.com,tablet,"Mozilla/5.0 (Linux; Android 14; 23043RP34G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.64 Safari/537.36",,,,"{""event_title"":""product_view"",""element_id"":""#login-btn"",""x"":1909,""y"":15}"
821c8cf0-0014-4731-b83e-3870347296bf,signup,2025-12-08T10:58:55Z,2026-01-21T01:03:02Z,sess-1683-3,1683,73.189.44.146,/catalog,https://mail.google.com,mobile,"Mozilla/5.0 (Linux; Android 14; 2312DRA50G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.64 Mobile Safari/537.36",,,,"{""event_title"":""signup_attempt"",""element_id"":""#signup-btn"",""x"":7,""y"":290}"
43ae501f-9ff2-4aaa-8bd7-cf5c4bf51154,purchase,2025-12-23T05:32:59Z,2026-01-21T01:03:02Z,sess-4395-1,4395,196.4.129.216,/catalog?category=electronics,https://mail.google.com,desktop,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:123.0) Gecko/20100101 Firefox/123.0,,,,"{""event_title"":""checkout_complete"",""element_id"":""#checkout-btn"",""x"":1330,""y"":177}"
c7574722-1cfd-459b-8f2f-6b2e41514aa5,view,2025-12-28T00:54:34Z,2026-01-21T01:03:02Z,sess-2381-5,2381,235.172.167.84,/account/orders,https://facebook.com,desktop,"Mozilla/5.0 (Windows NT 11.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",,,,"{""event_title"":""banner_view"",""element_id"":""#nav-cart"",""x"":560,""y"":668}"
2c62ea7f-11bc-4bb2-89ca-67cc1e541ff8,view,2026-01-02T13:18:17Z,2026-01-21T01:03:02Z,sess-1852-1,1852,193.71.24.232,/,,desktop,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,,,,"{""event_title"":""page_load"",""element_id"":""#newsletter-subscribe"",""x"":1735,""y"":481}"
c956cdf9-6080-4f55-a6a8-025e741d6afe,view,2025-12-08T11:34:15Z,2026-01-21T01:03:02Z,sess-2278-5,2278,249.144.112.184,/search?q=laptop,https://twitter.com,desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",,,,"{""event_title"":""banner_view"",""element_id"":""#filter-apply"",""x"":1815,""y"":175}"
e674b916-379c-4744-b62d-8ab2d03569c4,click,2025-12-20T20:56:29Z,2026-01-21T01:03:02Z,sess-3103-10,3103,119.118.64.213,/catalog?category=electronics,,mobile,"Mozilla/5.0 (Linux; Android 13; SM-A546B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.6167.178 Mobile Safari/537.36",,,,"{""event_title"":""promo_click"",""element_id"":""#product-image"",""x"":1275,""y"":309}"
369fe6ba-f5b5-40cc-abf4-cd29142c3228,click,2025-12-04T06:31:02Z,2026-01-21T01:03:02Z,sess-4280-2,4280,199.106.246.166,/checkout/confirm,https://yandex.ru/search/?text=shop,desktop,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:123.0) Gecko/20100101 Firefox/123.0,,,,"{""event_title"":""promo_click"",""element_id"":""#logout-btn"",""x"":692,""y"":286}"
269f880d-e4e6-4bb5-b8ab-565feab8bed8,logout,2025-12-06T10:26:36Z,2026-01-21T01:03:02Z,sess-2486-4,2486,118.94.29.33,/account/settings,https://google.com/search?q=products,desktop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",,,,"{""event_title"":""logout"",""element_id"":""#logout-btn"",""x"":464,""y"":802}"
8dc75d57-828f-4f6b-a2d1-c5ec58d231f6,login,2025-12-19T02:50:57Z,2026-01-21T01:03:02Z,sess-2288-7,2288,217.252.253.175,/,https://news.ycombinator.com,desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 14_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",,,,"{""event_title"":""login_attempt"",""element_id"":""#login-btn"",""x"":1400,""y"":529}"
8b7a9822-2736-46c6-8685-713e6318effc,signup,2025-11-01T14:00:35Z,2026-01-21T01:03:02Z,sess-3432-2,3432,56.244.48.48,/account,https://google.com/search?q=best+deals,desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",,,,"{""event_title"":""signup_attempt"",""element_id"":""#signup-btn"",""x"":524,""y"":1047}"
